Depertment ,Question,Answer,Explanation,source
"Review of Peripheral Blood and Bone Marrow Morphology:
Non-Malignant Hematology","A 4-year-old boy is pale with intermittent jaundice and splenomegaly.
Laboratory results are as follows: RBC 4.85 M/mcL (N); Hgb 8.6 g/dL (L); Hct 25.8% (L);
MCV 81.6 (N); MCHC 38% (H); RDW 20% (H); Retic 7% (H).
What are the two best tests to distinguish autoimmune hemolytic anemia from hereditary
spherocytosis?
A. Free erythrocyte protoporphyrin and IgG levels
B. Hemoglobin electrophoresis and direct antiglobulin test (DAT)
C. Lactate dehydrogenase (LDH) and modified Russell viper venom test
D. Red cell distribution width (RDW) and mean corpuscular hemoglobin concentration
(MCHC)
E. DAT and osmotic fragility testing",E. DAT and osmotic fragility testing,"The findings on the peripheral blood smear include small, dense, round microspherocytes;
polychromasia; and red cells with central pallor, which are often smaller than normal. In this
case, the direct antiglobulin test (DAT) was negative, and the patient was diagnosed with
hereditary spherocytosis. A high mean corpuscular hemoglobin concentration (MCHC) (? 36
g/dL) is consistent with the presence of spherocytes.
Free erythrocyte protoporphyrin testing is useful is the evaluation of porphyrias. Hemoglobin
electrophoresis is useful in the evaluation of hemoglobinopathies. The modified Russell viper
venom test is useful in the evaluation of lupus anticoagulant.
Hereditary spherocytosis is caused by mutations in membrane skeletal proteins ankyrin, alphaspectrin,
beta-spectrin, band 3, or protein 4.2. Hereditary elliptocytosis is typically caused by
heterozygous mutations in alpha-spectrin, beta-spectrin, or protein 4.1. Hereditary
pyropoikilocytosis is typically caused by homozygous mutations in alpha-spectrin, beta-spectrin,
or protein 4.1.",100mcq's
"Review of Peripheral Blood and Bone Marrow Morphology:
Non-Malignant Hematology","The patient is a 2-month-old boy who presented with a skin abscess and is febrile. On exam,
he is noted to have silvery hair and hypopigmented skin. A CBC shows a leukocyte count of
3.4 K/mcL with 10% neutrophils. What does the abnormality on the peripheral smear
suggest?
A. Abnormal lysosomal biogenesis
B. Abnormal ribosome function
C. Abnormal phagocytosis of opsonized particles
D. Abnormal mitochondrial activity
E. Impaired DNA repair activity",A. Abnormal lysosomal biogenesis,"The peripheral blood smear shows abnormally large azurophilic or grey granules in the
neutrophils and lymphocytes. These abnormal coalesced lysosomes can be found in all
leukocytes.
Chediak-Higashi syndrome is due to abnormal lysosomal biogenesis. Patients in the stable phase
have increased susceptibility to infection and oculocutaneous albinism. An accelerated phase
with hemophagocytic lymphohistiocytosis is typically fatal.
Of the other choices, the following diseases are examples that have defects in the cellular system
named:
• Diamond-Blackfan anemia characterized abnormal ribosomal function
• leukocyte adhesion deficiency characterized by abnormal phagocytosis
• Pearson syndrome characterized by abnormal mitochondrial activity
• ataxia-telangiectasia characterized by abnormal DNA repair.",100mcq's
Review of Peripheral Blood and Bone Marrow Morphology: Malignant Diseases,"A 7-year-old boy presents with recent onset of vomiting and lethargy. Blood smear shows
increased neutrophils with a left shift and 8% abnormal cells. Bone marrow contains 60% of
the same cells. Flow cytometry shows that the cells are TdT–, CD10+, CD19+, CD20+, sIg+.
What is the most likely diagnosis?
A. Burkitt leukemia/lymphoma
B. B-cell acute lymphoblastic leukemia (ALL)
C. T-cell ALL
D. Hematogones
E. Diffuse large B-cell lymphoma (DLBCL)",A. Burkitt leukemia/lymphoma,"Flow cytometry shows mature CD10+ B-cells, and the morphology is that of Burkitt lymphoma,
which occasionally can have a leukemic phase. DLBCL certainly is a consideration, but a truly
leukemic phase (rather than just marrow involvement) would be unusual. An MYC
rearrangement by cytogenetics/fluorescence in situ hybridization (FISH) also would be
diagnostically helpful.",100mcq's
"29. Review of Peripheral Blood and Bone Marrow Morphology:
Malignant Diseases","You are seeing a 13-year-old boy with fatigue, weight loss, night sweats, and splenomegaly.
Peripheral blood shows anemia, thrombocytosis, and leukocytosis (300,000/mm3).
What is this patient’s most likely diagnosis?
A. Leukemoid reaction
B. Acute lymphoblastic leukemia (ALL)
C. Chronic myeloid leukemia (CML)
D. Juvenile myelomonocytic leukemia (JMML)
E. Acute myeloid leukemia (AML)",C. Chronic myeloid leukemia (CML),"A neutrophilic leukocytosis and a left shift with a basophilia and thrombocytosis without
increased blasts are typical of the chronic phase of CML. Cytogenetics/fluorescence in situ
hybridization (FISH) showing t(9;22)(q34;q11.2) would be diagnostic. Leukemoid reaction is
also in the differential, but basophilia and an absence of monocytosis would be unusual. JMML
is a disease of much younger children (typically younger than 4 years and certainly younger than
8 years) and nearly always is associated with thrombocytopenia.",100mcq's
"29. Review of Peripheral Blood and Bone Marrow Morphology:
Malignant Diseases","You are seeing a 2-year-old girl with new onset of fever and bronchitis. She has
maculopapular rash and hepatosplenomegaly. Blood smear shows leukocytosis
(100,000/mm3), anemia, and thrombocytopenia. Ancillary tests include fetal hemoglobin of
80% and normal blood karyotype.
What is the most likely diagnosis?
A. Leukemoid Reaction
B. Acute lymphoblastic leukemia (ALL)
C. Chronic myeloid leukemia (CML)
D. Juvenile myelomonocytic leukemia (JMML)
E. Acute myeloid leukemia (AML)",D. Juvenile myelomonocytic leukemia (JMML),"Marked leukocytosis, including monocytosis without increased blasts or a basophilia, are typical
of JMML, as are thrombocytopenia and anemia often accompanied by erythroblastosis.
Elevation of fetal hemoglobin is characteristic of JMML. Cytogenetics typically are normal and a
BCR/ABL1 fusion is not present. Somatic mutations in the RAS signaling pathway are common.",100mcq's
Survivorship,"A 15-year-old girl with a history of osteosarcoma presents to survivor clinic for her first
evaluation. Her mother complains that she does not listen well and is wondering if she may
have trouble hearing. Which of the follow is true regarding platinum-associated hearing loss?
A. Platinum chemotherapy is most often associated with conductive hearing loss.
B. Low-frequency volumes are affected first.
C. Older age at exposure increases risk.
D. Platinum-associated hearing loss is due to destruction of the cochlear hair cells.
E. Carboplatin is more ototoxic than cisplatin.",D. Platinum-associated hearing loss is due to destruction of the cochlear hair cells.,"Platinum-associated sensorineural hearing loss is due to the destruction of cochlear hair cells.
The hair cells are arranged tonotopically; therefore, the high-frequency hair cells (>2000 Hz) are
affected first. As cumulative dose increases, injury progresses toward the cochlear apex, where
lower frequencies in the audible range are affected. Cisplatin is more ototoxic than carboplatin.
Younger age at exposure (younger than 5 years), higher doses, receipt of multiple ototoxic
agents, and combination treatment with cisplatin and cranial radiation places patients at
increased risk for hearing loss. Radiation is associated with both conductive and sensorineural
hearing loss; however, platinum agents are typically associated with sensorineural hearing loss
only.",100mcq's
Survivorship,"An 18-year old male patient with acute lymphoblastic leukemia recently started maintenance
therapy and is complaining of increased hip pain. The pain increases during weight-bearing
activity; however, it occasionally hurts at night as well. His CBCd is normal. Which of the
following risk factors is most commonly associated with this process?
A. Younger age at diagnosis
B. Non-White race
C. Low body-mass index
D. Dexamethasone exposure
E. Male sex",D. Dexamethasone exposure,"Avascular necrosis (AVN) is a well-known complication of therapy for acute lymphoblastic
leukemia and can lead to significantly impaired quality of life. AVN can develop during
treatment or after therapy completion and is associated with exposure to glucocorticoids.
Dexamethasone has more bone toxicity compared with equivalent doses of prednisone, and
continuous exposure increases this risk. Weight-bearing joints are affected in 95% of patients
with AVN, with the femoral head as the most commonly involved joint, though often it is
multifocal. The mechanism of injury is thought to be multifactorial, including disruption of
osteoblasts, intramedullary lipocyte proliferation impacting circulation, and fat embolization to
subchondral arteries. Common risk factors include female sex, radiation exposure, White race,
106
and obesity. Teenagers are more likely to develop AVN compared with younger patients;
therefore, current treatment protocols limit the exposure to long courses of dexamethasone in
adolescents.",100mcq's
Survivorship,"A 19-year old male patient with a history of acute lymphoblastic leukemia, currently 13 years
from completion of therapy, presents for a fertility consultation. He is interested in his risk
for infertility. Which of the following statements is true?
A. A semen analysis at this point would provide accurate information about future fertility.
B. Males can maintain gonadal function at higher cumulative alkylator dosages compared
with females.
C. He should have been offered sperm cryopreservation at diagnosis.
D. His risk for testosterone deficiency is greater than his risk for infertility.
E. Prepubertal status at diagnosis is protective from gonadal injury in males.",A. A semen analysis at this point would provide accurate information about future fertility.,"Explanation
Adolescents and young adults are often concerned about their risk for future infertility. Risk for
gonadotoxicity and fertility preservation options differ for males and females. Males are more
sensitive to gonadotoxic exposures and have a higher risk of infertility compared to females with
equivalent treatment. The Leydig cells that secrete testosterone are fairly resistant to gonadotoxic
injury; therefore, males are often able to produce normal levels of testosterone even if they have
Sertoli/germ cell damage leading to infertility. In females, the stromal and germ cells are equally
affected by therapy; therefore, after girls receive highly gonadotoxic therapy, they are more
likely to need hormone replacement to proceed through puberty or maintain menstrual cycles.
Prepubertal status is protective from gonadal injury in females; however, this is not true in males.
In males, gonadal recovery after therapy can take up to 5 years. After recovery, gonadal function
is stable with aging. On the other hand, females may have recovery after treatment leading to a
reproductive window prior to premature menopause. A semen analysis is the best method for
fertility evaluation in males and would be appropriate to pursue at this time if the patient is
interested. Semen cryopreservation is only possible in postpubertal males. Prepubertal males can
undergo testicular tissue cryopreservation; however, it is still considered experimental.",100mcq's
Vascular Anomalies,"An infant is born with a firm mass over the chest with a central area of purpura and a “halo”
around it. An ultrasound reveals a high-flow lesion. What is the most likely diagnosis?
A. Fibrosarcoma
B. Infantile hemangioma
C. Congenital hemangioma
D. Capillary malformation",C. Congenital hemangioma,"The mass is completely present at birth. It is firm with a central area of purpura but a halo around
the central area. A fibrosarcoma is firm and violaceous with no halo surrounding the tumor. It is
more mass-like on ultrasound. An infantile hemangioma is not present at birth but grows after
birth. A capillary malformation is a cutaneous anomaly that is flat. A congenital hemangioma is
present at birth with high flow on ultrasound and a “halo” around the lesion.",100mcq's
Vascular Anomalies,"An infant is born with a 7 cm × 6 cm lesion over the upper extremity from the elbow to the
shoulder. The lesion is indurated and purpuric, with some petechiae around the edges. No
other areas of petechiae are noted on the skin. The infant is doing well without other
systemic problems. i were 9 and 9. You are called by the pediatric nurse practitioner to the
NICU.
What is the most appropriate next step?
A. Do nothing because the infant is doing well and had good Apgars.
B. Obtain an ultrasound for more information about the lesion.
C. Obtain an MRI to assess the extent of the lesion.
D. Obtain labs, including a CBC with platelet count and fibrinogen.","D. Obtain labs, including a CBC with platelet count and fibrinogen.","This appearance is that of a possible vascular tumor, but information is still needed to better
define the lesion. Some of these lesions, such as a congenital hemangioma, are benign, but others
are classified as an intermediate malignancy (kaposiform hemangioendothelioma) or a high-risk
malignancy (angiosarcoma or a fibrosarcoma). The infant should have some intervention because
this lesion is violaceous and has some petechiae, which can be a sign of thrombocytopenia. An
ultrasound may help differentiate flow and makeup of the lesion but can be done after further
investigation because an MRI may be necessary to determine the extent of the tumor. For an
infant, an MRI can be done without sedation at most institutions. Because this lesion is
violaceous and this could be a sign of a coagulopathy in a vascular tumor, Answer D is
correct. The first, easy, step would be to obtain labs to rule out a coagulopathy. This could be
the most critical issue for the patient. Further investigation can then occur.",100mcq's
,,,,
,,,,
,,,,
,,,,
 ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
